feature,importance
forty_yd_dash,0.07243730274877881
speed_p75_max,0.04882055857722381
three_cone,0.043871320648944355
accel_std_mean,0.0405675555398441
accel_p95_max,0.038704044950507104
accel_mean_mean,0.03850384755324356
bench_reps_of_225_zscore,0.03387205599986287
weight_zscore,0.0337380737915975
standing_vertical,0.03364795631980591
speed_consistency,0.03287262870980639
pos_DB,0.03225829996508848
height_zscore,0.03224298841018963
speed_mean_mean,0.03190998179004461
avg_distance_per_frame_mean,0.031484354044868
total_distance_sum,0.028316804389484515
intensity_ratio,0.028118860400927186
dir_change_max_max,0.02801402742110657
speed_p95_max,0.027422370638190127
twenty_yard_shuttle_zscore,0.02691428587782557
total_frames_sum,0.0260960713558684
standing_broad_jump,0.02358493753952385
speed_max_max,0.020296256012969974
speed_std_mean,0.019314959084761857
work_efficiency,0.01899108137301165
accel_max_max,0.018468387030133964
weight,0.01833382624683126
twenty_yard_shuttle,0.01823082704704055
pos_SKILL,0.017856224190840913
standing_broad_jump_elite,0.013452882981614804
three_cone_zscore,0.012485520640101215
height,0.010820138712928013
bench_reps_of_225_elite,0.010545396093742181
standing_broad_jump_zscore,0.010151658199408308
speed_p50_mean,0.01008278692794078
hand_size,0.010016004051346039
standing_vertical_zscore,0.009894592370274844
arm_length,0.009580375156242897
forty_yd_dash_zscore,0.00840947968319709
dir_change_avg_mean,0.008065127078274895
bench_reps_of_225,0.007174575806011343
wingspan,0.005040058328992349
three_cone_elite,0.0031474440168388312
standing_vertical_elite,0.002685178614360538
forty_yd_dash_elite,0.0021558958130440792
twenty_yard_shuttle_elite,0.0014029978673603027
pos_OL,0.0
pos_DL,0.0
pos_LB,0.0
